salida.huff;iteracion1;6649;milisegundos
salida.huff;iteracion2;6532;milisegundos
salida.huff;iteracion3;6567;milisegundos
salida.huff;iteracion4;6602;milisegundos
salida.huff;iteracion5;6581;milisegundos
salida.huff;iteracion1;35080;milisegundos
salida.huff;iteracion2;34128;milisegundos
salida.huff;iteracion3;34270;milisegundos
salida.huff;iteracion4;34310;milisegundos
salida.huff;iteracion5;34361;milisegundos
salida.huff;iteracion1;78260;milisegundos
salida.huff;iteracion2;77106;milisegundos
salida.huff;iteracion3;77240;milisegundos
salida.huff;iteracion4;83928;milisegundos
salida.huff;iteracion5;77862;milisegundos
salida.huff;iteracion1;148601;milisegundos
salida.huff;iteracion2;148393;milisegundos
salida.huff;iteracion3;147540;milisegundos
salida.huff;iteracion4;147907;milisegundos
salida.huff;iteracion5;147608;milisegundos
salidadna.huff;iteracion1;6493;milisegundos
salidadna.huff;iteracion2;6458;milisegundos
salidadna.huff;iteracion3;6535;milisegundos
salidadna.huff;iteracion4;6501;milisegundos
salidadna.huff;iteracion5;6670;milisegundos
salidadna.huff;iteracion1;49995;milisegundos
salidadna.huff;iteracion2;50046;milisegundos
salidadna.huff;iteracion3;49983;milisegundos
salidadna.huff;iteracion4;49981;milisegundos
salidadna.huff;iteracion5;50000;milisegundos
salidadna.huff;iteracion1;98114;milisegundos
salidadna.huff;iteracion2;95216;milisegundos
salidadna.huff;iteracion3;95029;milisegundos
salidadna.huff;iteracion4;95508;milisegundos
salidadna.huff;iteracion5;94933;milisegundos
salidadna.huff;iteracion1;188885;milisegundos
salidadna.huff;iteracion2;189791;milisegundos
salidadna.huff;iteracion3;188683;milisegundos
salidadna.huff;iteracion4;189322;milisegundos
salidadna.huff;iteracion5;188648;milisegundos
